carro_id,marca,ano,quilometragem,motor,cambio,combustivel,cor,portas,dono_unico,ipva_pago,num_revisoes,preco
C1000,Hyundai,2013,181049,1.4,Manual,Gasolina,Preto,4,Sim,Nao,2,40920
C1001,Toyota,2007,90495,1.4,Automatico,Flex,Vermelho,4,Sim,Sim,2,57263
C1002,Chevrolet,2011,253429,2.0,Manual,Diesel,Branco,4,Nao,Nao,9,28876
C1003,Chevrolet,2013,130301,1.4,Manual,Flex,Prata,4,Nao,Sim,0,29109
C1004,Chevrolet,2010,173334,1.0,Automatico,Diesel,Azul,4,Sim,Sim,0,34702
C1005,Volkswagen,2014,93741,1.6,Manual,Gasolina,Cinza,2,Nao,Sim,6,56050
C1006,Hyundai,2021,51275,1.4,Manual,Gasolina,Branco,4,Nao,Sim,4,65009
C1007,Fiat,2023,12602,1.8,Automatico,Gasolina,Vermelho,4,Nao,Nao,7,74835
C1008,Volkswagen,2011,229828,1.0,Manual,Hibrido,Cinza,4,Sim,Nao,1,21726
C1009,Hyundai,2021,56243,1.0,Manual,Gasolina,Azul,4,Sim,Nao,6,64720
C1010,Hyundai,2010,212160,1.4,Manual,Flex,Preto,4,Nao,Sim,11,31369
C1011,Toyota,2013,107342,1.4,Automatico,Flex,Prata,4,Nao,Sim,4,81297
C1012,Fiat,2022,21606,1.4,Automatico,Flex,Prata,2,Sim,Sim,0,65182
C1013,Chevrolet,2019,8175,1.0,Manual,Flex,Prata,4,Nao,Sim,11,54547
C1014,Renault,2005,193900,1.6,Manual,Gasolina,Azul,4,Sim,Sim,5,9000
C1015,Jeep,2013,129948,1.0,Manual,Flex,Vermelho,4,Sim,Sim,8,80296
C1016,Honda,2017,144283,1.4,Manual,Diesel,Azul,4,Sim,Nao,3,65702
C1017,Fiat,2019,43385,1.4,Manual,Hibrido,Preto,4,Nao,Sim,4,49846
C1018,Renault,2023,16516,1.4,Automatico,Flex,Azul,4,Nao,Sim,9,68047
C1019,Fiat,2013,188542,1.4,Manual,Flex,Cinza,2,Sim,Sim,9,17441
C1020,Chevrolet,2022,23478,1.8,Manual,Diesel,Azul,4,Nao,Nao,6,72954
C1021,Chevrolet,2019,55238,1.4,Automatico,Gasolina,Cinza,4,Nao,Nao,0,61661
C1022,Volkswagen,2010,168468,1.0,Automatico,Flex,Cinza,4,Sim,Sim,7,40719
C1023,Fiat,2022,20940,1.8,Automatico,Flex,Branco,4,Nao,Sim,5,67709
C1024,Fiat,2009,177737,1.4,Manual,Flex,Cinza,4,Nao,Sim,8,16001
C1025,Hyundai,2013,59958,1.0,Manual,Diesel,Prata,4,Nao,Nao,8,41059
C1026,Fiat,2017,96553,1.0,Automatico,Gasolina,Branco,4,Nao,Nao,8,41724
C1027,Volkswagen,2023,9780,2.0,Automatico,Flex,Vermelho,4,Sim,Sim,11,99551
C1028,Fiat,2023,15840,1.0,Manual,Gasolina,Cinza,4,Nao,Sim,0,53517
C1029,Volkswagen,2012,262495,1.4,Manual,Flex,Preto,4,Nao,Sim,8,27099
C1030,Fiat,2020,57136,1.4,Automatico,Flex,Prata,4,Nao,Nao,7,59785
C1031,Fiat,2012,176255,1.4,Automatico,Flex,Azul,4,Sim,Sim,3,27398
C1032,Hyundai,2017,104190,1.6,Automatico,Gasolina,Cinza,4,Sim,Sim,10,58491
C1033,Chevrolet,2023,13761,1.0,Automatico,Flex,Branco,4,Nao,Sim,9,72408
C1034,Hyundai,2012,215443,1.4,Automatico,Diesel,Azul,2,Nao,Sim,4,39654
C1035,Chevrolet,2022,13069,1.6,Manual,Gasolina,Cinza,4,Nao,Sim,4,73490
C1036,Hyundai,2009,39931,1.6,Manual,Gasolina,Vermelho,2,Sim,Sim,7,45770
C1037,Volkswagen,2017,7598,2.0,Manual,Flex,Branco,4,Sim,Sim,11,72301
C1038,Honda,2005,300000,1.0,Manual,Gasolina,Prata,4,Nao,Nao,7,29164
C1039,Jeep,2016,105077,1.4,Manual,Flex,Prata,4,Sim,Sim,6,96457
C1040,Chevrolet,2019,98612,1.0,Manual,Flex,Vermelho,4,Nao,Sim,2,50945
C1041,Honda,2018,92380,1.0,Manual,Flex,Preto,4,Sim,Nao,9,82898
C1042,Fiat,2021,28866,1.0,Manual,Flex,Branco,4,Nao,Sim,4,54227
C1043,Volkswagen,2011,126470,1.8,Manual,Flex,Branco,2,Nao,Nao,4,45254
C1044,Fiat,2014,61686,1.0,Manual,Gasolina,Azul,4,Sim,Sim,5,37856
C1045,Hyundai,2013,135989,1.0,Manual,Flex,Preto,4,Sim,Sim,6,37085
C1046,Fiat,2011,212005,1.0,Automatico,Flex,Prata,4,Nao,Sim,5,15890
C1047,Volkswagen,2018,104864,1.4,Manual,Gasolina,Preto,4,Nao,Sim,6,66593
C1048,Fiat,2016,132531,1.0,Manual,Gasolina,Prata,4,Nao,Sim,4,30405
C1049,Volkswagen,2022,26820,1.4,Automatico,Diesel,Branco,4,Nao,Sim,7,74200
C1050,Renault,2014,0,1.6,Automatico,Flex,Cinza,4,Nao,Nao,11,46454
C1051,Hyundai,2019,76648,1.0,Automatico,Flex,Vermelho,4,Sim,Nao,7,56731
C1052,Volkswagen,2007,0,1.6,Manual,Flex,Preto,4,Sim,Sim,1,56144
C1053,Renault,2013,192096,2.0,Manual,Gasolina,Preto,4,Nao,Sim,0,27559
C1054,Volkswagen,2013,167877,1.0,Automatico,Flex,Vermelho,4,Sim,Sim,10,39452
C1055,Chevrolet,2016,61414,1.4,Automatico,Flex,Azul,4,Sim,Nao,5,57302
C1056,Fiat,2012,105244,2.0,Manual,Flex,Branco,2,Sim,Sim,11,37545
C1057,Hyundai,2011,300000,1.6,Manual,Hibrido,Cinza,4,Sim,Sim,4,27249
C1058,Fiat,2019,65736,2.0,Automatico,Flex,Branco,2,Sim,Sim,9,61990
C1059,Honda,2014,187696,1.4,Manual,Flex,Azul,4,Nao,Sim,7,61424
C1060,Renault,2021,23911,1.0,Manual,Gasolina,Cinza,4,Nao,Sim,1,49243
C1061,Chevrolet,2007,288174,1.4,Automatico,Flex,Azul,4,Nao,Sim,4,10548
C1062,Hyundai,2015,66463,1.0,Manual,Hibrido,Prata,4,Nao,Sim,1,48936
C1063,Fiat,2007,293476,1.0,Automatico,Flex,Azul,4,Nao,Nao,4,9000
C1064,Fiat,2010,219905,1.0,Manual,Diesel,Cinza,4,Nao,Sim,2,9000
C1065,Honda,2013,192832,1.0,Manual,Gasolina,Azul,4,Nao,Nao,7,57415
C1066,Volkswagen,2020,64286,2.0,Manual,Gasolina,Preto,4,Sim,Sim,0,73009
C1067,Jeep,2020,32664,1.4,Manual,Flex,Prata,4,Nao,Sim,3,100269
C1068,Jeep,2015,29371,1.6,Automatico,Gasolina,Branco,4,Nao,Sim,8,112105
C1069,Hyundai,2007,220497,1.0,Automatico,Flex,Preto,4,Sim,Sim,10,30078
C1070,Hyundai,2012,72578,1.0,Manual,Flex,Azul,4,Sim,Sim,3,42690
C1071,Honda,2023,16025,1.4,Automatico,Flex,Vermelho,4,Nao,Sim,5,99154
C1072,Hyundai,2015,42206,1.4,Automatico,Gasolina,Preto,4,Sim,Nao,5,61956
C1073,Chevrolet,2012,143067,1.0,Manual,Flex,Branco,4,Nao,Nao,5,33588
C1074,Jeep,2011,69647,1.0,Manual,Diesel,Cinza,4,Nao,Sim,6,73430
C1075,Hyundai,2015,86532,1.6,Automatico,Flex,Branco,2,Nao,Sim,2,62664
C1076,Hyundai,2014,172569,1.8,Automatico,Flex,Prata,2,Sim,Sim,7,54478
C1077,Fiat,2007,173083,1.4,Manual,Gasolina,Preto,4,Sim,Sim,4,15727
C1078,Chevrolet,2018,88591,1.0,Manual,Flex,Preto,4,Nao,Nao,2,47783
C1079,Chevrolet,2007,122276,1.0,Manual,Gasolina,Preto,4,Sim,Sim,4,16683
C1080,Renault,2008,19742,1.0,Manual,Flex,Prata,4,Sim,Nao,2,20420
C1081,Toyota,2010,222305,1.6,Automatico,Flex,Prata,4,Nao,Nao,3,57631
C1082,Honda,2011,115885,1.6,Manual,Flex,Cinza,2,Sim,Nao,3,60625
C1083,Volkswagen,2009,118800,1.4,Manual,Gasolina,Preto,4,Nao,Sim,10,41787
C1084,Volkswagen,2012,0,1.4,Automatico,Gasolina,Cinza,4,Sim,Sim,9,70656
C1085,Volkswagen,2022,35492,1.6,Automatico,Flex,Prata,4,Nao,Sim,11,81186
C1086,Toyota,2011,170770,1.8,Automatico,Flex,Vermelho,4,Nao,Nao,4,70213
C1087,Renault,2014,62028,1.8,Automatico,Flex,Cinza,4,Nao,Nao,4,44202
C1088,Renault,2016,131034,1.0,Manual,Flex,Prata,4,Nao,Nao,4,18051
C1089,Jeep,2018,56791,1.6,Automatico,Flex,Preto,2,Nao,Nao,4,106931
C1090,Hyundai,2010,292405,1.0,Manual,Gasolina,Branco,4,Sim,Sim,9,19316
C1091,Fiat,2015,151627,1.6,Automatico,Flex,Branco,4,Nao,Sim,0,39522
C1092,Chevrolet,2014,159084,1.6,Manual,Flex,Vermelho,4,Nao,Sim,6,39530
C1093,Chevrolet,2007,300000,1.4,Manual,Flex,Prata,2,Nao,Nao,3,9000
C1094,Fiat,2013,127426,1.4,Manual,Flex,Vermelho,4,Nao,Sim,8,25269
C1095,Jeep,2009,171180,1.0,Automatico,Flex,Preto,4,Sim,Sim,0,58027
C1096,Renault,2006,0,1.0,Manual,Diesel,Vermelho,4,Sim,Nao,8,27331
C1097,Volkswagen,2017,44759,1.8,Manual,Flex,Preto,4,Sim,Sim,1,68558
C1098,Fiat,2017,95516,1.6,Manual,Flex,Branco,4,Sim,Nao,6,50408
C1099,Volkswagen,2018,80947,1.6,Manual,Gasolina,Azul,4,Nao,Sim,2,62751
C1100,Chevrolet,2013,174958,1.0,Automatico,Gasolina,Branco,4,Nao,Sim,4,39175
C1101,Volkswagen,2012,130874,1.6,Manual,Flex,Cinza,4,Sim,Sim,9,54375
C1102,Volkswagen,2014,60402,2.0,Manual,Diesel,Cinza,4,Sim,Sim,9,66073
C1103,Jeep,2015,112479,1.0,Manual,Hibrido,Cinza,4,Nao,Sim,0,80885
C1104,Volkswagen,2020,43911,1.4,Manual,Flex,Cinza,4,Sim,Nao,11,71231
C1105,Fiat,2010,207724,1.6,Manual,Flex,Azul,2,Nao,Sim,2,15422
C1106,Volkswagen,2006,300000,1.6,Manual,Flex,Azul,4,Nao,Sim,10,27711
C1107,Volkswagen,2013,254514,1.0,Automatico,Flex,Prata,4,Nao,Nao,8,37503
C1108,Chevrolet,2022,7807,1.6,Automatico,Flex,Prata,4,Sim,Sim,5,73297
C1109,Fiat,2018,21551,1.6,Manual,Flex,Vermelho,4,Nao,Sim,1,46297
C1110,Jeep,2022,29049,2.0,Automatico,Flex,Branco,4,Nao,Sim,8,121197
C1111,Fiat,2015,81595,1.0,Manual,Flex,Preto,2,Nao,Nao,3,29002
C1112,Hyundai,2012,156320,1.0,Automatico,Flex,Branco,2,Sim,Sim,8,43770
C1113,Toyota,2008,300000,2.0,Manual,Flex,Vermelho,4,Nao,Sim,6,54574
C1114,Hyundai,2017,36157,1.6,Manual,Flex,Azul,4,Nao,Sim,3,63888
C1115,Honda,2007,300000,1.0,Manual,Flex,Vermelho,2,Nao,Sim,5,25270
C1116,Fiat,2017,80454,1.0,Manual,Flex,Preto,4,Nao,Sim,4,45157
C1117,Fiat,2017,29368,1.8,Manual,Flex,Cinza,4,Nao,Sim,5,48594
C1118,Fiat,2012,215177,1.6,Manual,Gasolina,Vermelho,4,Nao,Sim,9,21070
C1119,Honda,2019,0,1.0,Manual,Flex,Azul,2,Nao,Nao,9,87053
C1120,Fiat,2013,52363,1.4,Automatico,Flex,Cinza,4,Sim,Sim,8,54006
C1121,Fiat,2008,300000,1.0,Automatico,Gasolina,Preto,4,Sim,Sim,5,10112
C1122,Volkswagen,2016,66239,1.4,Manual,Hibrido,Prata,2,Sim,Sim,0,64870
C1123,Fiat,2020,58990,1.4,Manual,Flex,Prata,4,Nao,Nao,6,51032
C1124,Jeep,2022,40223,1.0,Automatico,Flex,Azul,2,Nao,Sim,11,120240
C1125,Honda,2011,89811,1.4,Manual,Gasolina,Preto,4,Nao,Sim,5,64198
C1126,Honda,2013,62109,1.0,Manual,Flex,Vermelho,2,Nao,Nao,5,63843
C1127,Hyundai,2021,15799,1.0,Automatico,Gasolina,Preto,4,Nao,Sim,6,72951
C1128,Jeep,2005,300000,1.6,Automatico,Flex,Branco,4,Nao,Sim,9,54649
C1129,Fiat,2008,182467,2.0,Manual,Flex,Preto,4,Nao,Sim,11,22503
C1130,Hyundai,2009,300000,1.8,Automatico,Gasolina,Azul,2,Sim,Nao,8,39744
C1131,Renault,2023,5217,1.8,Automatico,Diesel,Cinza,4,Nao,Sim,5,75628
C1132,Toyota,2017,109960,1.8,Manual,Diesel,Branco,4,Sim,Sim,5,87990
C1133,Chevrolet,2021,19240,1.0,Automatico,Flex,Cinza,4,Nao,Sim,3,68619
C1134,Hyundai,2009,179833,1.8,Manual,Flex,Preto,4,Nao,Sim,9,47055
C1135,Fiat,2009,289114,1.0,Automatico,Flex,Preto,4,Sim,Sim,2,9000
C1136,Jeep,2023,4901,1.4,Automatico,Gasolina,Vermelho,4,Nao,Sim,4,118534
C1137,Chevrolet,2015,66580,1.0,Manual,Diesel,Prata,4,Nao,Sim,11,54861
C1138,Hyundai,2023,13328,1.8,Automatico,Flex,Branco,4,Sim,Sim,9,86555
C1139,Honda,2023,11190,1.8,Manual,Flex,Branco,4,Sim,Sim,2,108535
C1140,Toyota,2008,100987,1.0,Automatico,Flex,Branco,4,Nao,Nao,0,63769
C1141,Honda,2018,113476,1.8,Manual,Flex,Azul,4,Nao,Sim,5,82025
C1142,Fiat,2013,159132,1.8,Automatico,Diesel,Azul,4,Sim,Sim,6,44191
C1143,Fiat,2008,129032,1.8,Manual,Flex,Cinza,4,Nao,Sim,2,31768
C1144,Honda,2011,209889,1.6,Manual,Gasolina,Vermelho,4,Nao,Sim,7,51174
C1145,Toyota,2020,36754,1.6,Manual,Gasolina,Cinza,4,Sim,Nao,6,104971
C1146,Chevrolet,2006,300000,1.8,Automatico,Flex,Azul,4,Nao,Sim,10,14967
C1147,Renault,2007,170240,1.4,Manual,Flex,Azul,4,Nao,Sim,0,9000
C1148,Renault,2005,68656,1.4,Automatico,Flex,Branco,4,Nao,Sim,10,19431
C1149,Hyundai,2013,172198,1.0,Manual,Flex,Prata,4,Nao,Nao,1,30440
C1150,Fiat,2023,12129,1.8,Manual,Flex,Branco,4,Sim,Nao,9,67936
C1151,Renault,2023,13929,1.0,Manual,Flex,Preto,2,Sim,Sim,10,54900
C1152,Volkswagen,2005,12409,1.0,Manual,Gasolina,Vermelho,4,Nao,Nao,0,32995
C1153,Hyundai,2018,37171,1.0,Automatico,Diesel,Prata,2,Nao,Sim,6,68071
C1154,Hyundai,2005,300000,1.0,Manual,Flex,Azul,4,Nao,Nao,10,9000
C1155,Toyota,2013,182163,1.0,Manual,Flex,Azul,4,Sim,Nao,4,57383
C1156,Toyota,2006,55097,1.0,Manual,Gasolina,Azul,4,Nao,Sim,10,56587
C1157,Toyota,2020,54335,2.0,Automatico,Gasolina,Branco,4,Sim,Sim,2,105746
C1158,Toyota,2020,33723,1.4,Automatico,Hibrido,Branco,4,Sim,Sim,9,113235
C1159,Toyota,2022,29746,1.4,Automatico,Hibrido,Preto,4,Sim,Sim,2,109235
C1160,Jeep,2022,16882,1.0,Automatico,Flex,Cinza,4,Sim,Sim,9,118907
C1161,Fiat,2019,68957,2.0,Automatico,Diesel,Vermelho,4,Nao,Sim,5,69209
C1162,Renault,2023,11790,1.4,Manual,Diesel,Prata,4,Nao,Sim,8,51032
C1163,Renault,2011,0,1.6,Automatico,Hibrido,Preto,4,Nao,Sim,3,49547
C1164,Hyundai,2020,73788,1.4,Manual,Gasolina,Branco,4,Nao,Sim,5,57275
C1165,Renault,2016,172636,1.0,Manual,Flex,Vermelho,4,Nao,Sim,7,27482
C1166,Volkswagen,2017,65436,1.0,Automatico,Diesel,Cinza,2,Sim,Sim,7,67649
C1167,Honda,2009,212349,1.0,Manual,Gasolina,Branco,4,Nao,Sim,9,43940
C1168,Toyota,2021,28644,1.0,Manual,Flex,Vermelho,4,Nao,Sim,0,81363
C1169,Chevrolet,2020,45565,1.4,Automatico,Gasolina,Branco,4,Nao,Sim,11,68579
C1170,Chevrolet,2022,15502,1.8,Automatico,Gasolina,Cinza,4,Nao,Nao,5,94246
C1171,Renault,2006,76153,1.8,Manual,Flex,Branco,2,Sim,Sim,6,28507
C1172,Fiat,2005,286721,1.0,Automatico,Flex,Branco,4,Sim,Sim,10,9000
C1173,Renault,2016,127341,1.4,Manual,Gasolina,Vermelho,4,Sim,Sim,8,33195
C1174,Jeep,2013,102169,1.8,Automatico,Gasolina,Azul,4,Sim,Nao,1,100240
C1175,Volkswagen,2018,67570,1.8,Automatico,Gasolina,Branco,4,Nao,Sim,1,89362
C1176,Chevrolet,2011,267131,1.0,Automatico,Flex,Preto,4,Sim,Sim,10,24279
C1177,Toyota,2018,76278,1.6,Manual,Gasolina,Cinza,4,Nao,Nao,4,87901
C1178,Toyota,2013,223208,1.8,Automatico,Flex,Azul,4,Nao,Sim,6,76368
C1179,Volkswagen,2014,203530,1.6,Manual,Gasolina,Azul,4,Sim,Nao,4,49157
C1180,Hyundai,2014,157751,1.4,Manual,Flex,Azul,4,Nao,Sim,2,33540
C1181,Hyundai,2015,70676,1.4,Automatico,Flex,Preto,4,Sim,Sim,9,68145
C1182,Hyundai,2013,165108,1.0,Automatico,Flex,Branco,2,Sim,Sim,2,34100
C1183,Fiat,2009,204314,1.6,Automatico,Gasolina,Preto,4,Nao,Sim,7,27363
C1184,Renault,2010,219755,1.4,Automatico,Flex,Preto,4,Nao,Nao,4,15141
C1185,Chevrolet,2019,45380,1.8,Manual,Flex,Preto,4,Nao,Sim,0,63122
C1186,Renault,2013,189970,1.4,Manual,Hibrido,Azul,4,Sim,Nao,10,22028
C1187,Chevrolet,2016,137190,1.8,Automatico,Flex,Cinza,2,Nao,Nao,1,54228
C1188,Honda,2013,213862,1.6,Automatico,Flex,Prata,4,Sim,Sim,11,71702
C1189,Volkswagen,2008,300000,1.4,Manual,Flex,Cinza,4,Nao,Sim,11,16005
C1190,Honda,2008,86682,1.6,Automatico,Flex,Cinza,4,Nao,Nao,7,72800
C1191,Hyundai,2005,293478,1.4,Automatico,Flex,Azul,4,Nao,Nao,10,30389
C1192,Hyundai,2016,78331,2.0,Manual,Diesel,Preto,4,Sim,Sim,2,63979
C1193,Toyota,2006,173205,1.0,Manual,Flex,Azul,4,Sim,Sim,1,40974
C1194,Toyota,2017,67764,1.6,Automatico,Flex,Cinza,4,Nao,Sim,9,82419
C1195,Volkswagen,2016,105078,1.8,Manual,Flex,Vermelho,4,Nao,Sim,8,53578
C1196,Honda,2020,0,1.0,Manual,Gasolina,Azul,2,Nao,Sim,1,85895
C1197,Hyundai,2014,150927,1.6,Manual,Flex,Preto,4,Nao,Sim,11,49376
C1198,Fiat,2012,209132,1.0,Manual,Flex,Preto,4,Sim,Sim,4,15214
C1199,Chevrolet,2020,12304,1.8,Manual,Flex,Azul,4,Sim,Sim,10,81652
C1200,Fiat,2006,259485,1.6,Manual,Flex,Preto,2,Sim,Nao,9,9977
C1201,Volkswagen,2019,66445,1.6,Manual,Gasolina,Cinza,4,Sim,Sim,9,64987
C1202,Chevrolet,2016,117196,1.8,Manual,Flex,Cinza,4,Sim,Sim,1,52765
C1203,Volkswagen,2018,95529,1.0,Automatico,Flex,Branco,4,Nao,Sim,9,59840
C1204,Chevrolet,2017,60375,1.4,Manual,Flex,Azul,4,Sim,Sim,0,58325
C1205,Renault,2010,75720,1.0,Automatico,Flex,Cinza,2,Sim,Nao,3,29841
C1206,Chevrolet,2006,243695,1.4,Automatico,Flex,Preto,4,Sim,Nao,11,19004
C1207,Honda,2012,121840,1.8,Automatico,Flex,Vermelho,4,Nao,Sim,3,76659
C1208,Volkswagen,2015,125431,1.0,Automatico,Diesel,Azul,4,Nao,Sim,11,54958
C1209,Chevrolet,2011,259943,1.6,Manual,Diesel,Azul,4,Sim,Sim,10,29804
C1210,Volkswagen,2017,102042,1.4,Manual,Flex,Vermelho,4,Nao,Sim,5,50630
C1211,Hyundai,2013,112196,1.6,Automatico,Flex,Azul,2,Sim,Sim,5,54238
C1212,Fiat,2005,134488,2.0,Automatico,Flex,Cinza,4,Sim,Sim,4,31451
C1213,Jeep,2023,17100,1.0,Automatico,Diesel,Azul,4,Sim,Sim,9,121443
C1214,Fiat,2023,8880,1.8,Manual,Flex,Preto,4,Sim,Sim,0,76115
C1215,Honda,2015,61808,1.8,Manual,Flex,Cinza,4,Nao,Sim,4,78607
C1216,Hyundai,2023,10469,1.0,Automatico,Diesel,Branco,4,Sim,Nao,3,68803
C1217,Jeep,2012,63624,1.6,Manual,Flex,Cinza,4,Sim,Sim,2,84783
C1218,Toyota,2011,118241,1.8,Automatico,Flex,Preto,2,Sim,Sim,2,80250
C1219,Toyota,2007,181418,1.0,Automatico,Diesel,Preto,4,Sim,Sim,11,50339
C1220,Chevrolet,2009,258674,2.0,Manual,Flex,Branco,4,Nao,Nao,5,32786
C1221,Renault,2007,197542,1.0,Automatico,Flex,Cinza,2,Sim,Sim,6,9000
C1222,Honda,2017,81071,1.0,Automatico,Flex,Preto,4,Sim,Nao,0,84887
C1223,Fiat,2016,17889,1.0,Automatico,Gasolina,Cinza,2,Sim,Sim,7,56465
C1224,Toyota,2016,138288,1.8,Manual,Diesel,Prata,4,Nao,Nao,9,85432
C1225,Toyota,2011,80756,1.4,Automatico,Flex,Vermelho,2,Nao,Nao,11,82166
C1226,Renault,2013,212355,1.0,Automatico,Gasolina,Prata,2,Nao,Sim,4,9084
C1227,Fiat,2014,31743,1.0,Automatico,Hibrido,Branco,4,Sim,Sim,11,57845
C1228,Volkswagen,2006,216097,1.6,Automatico,Flex,Branco,4,Sim,Sim,11,29823
C1229,Renault,2017,60688,1.0,Manual,Gasolina,Cinza,4,Nao,Sim,7,32732
C1230,Jeep,2020,37106,1.4,Manual,Flex,Vermelho,2,Sim,Nao,3,112159
C1231,Fiat,2009,127847,1.6,Manual,Flex,Branco,4,Sim,Sim,5,33817
C1232,Hyundai,2022,13788,1.4,Manual,Hibrido,Vermelho,4,Sim,Nao,1,69333
C1233,Fiat,2023,21383,1.0,Manual,Flex,Branco,4,Sim,Nao,10,60783
C1234,Chevrolet,2016,109237,2.0,Manual,Flex,Vermelho,4,Sim,Sim,3,60298
C1235,Hyundai,2009,167840,1.0,Automatico,Gasolina,Prata,4,Nao,Sim,1,27605
C1236,Toyota,2012,40537,1.8,Manual,Flex,Vermelho,4,Nao,Sim,2,85318
C1237,Fiat,2006,247088,1.4,Manual,Flex,Preto,4,Nao,Sim,2,9000
C1238,Toyota,2006,194913,1.6,Manual,Diesel,Branco,4,Nao,Sim,1,40733
C1239,Chevrolet,2023,11939,1.0,Automatico,Diesel,Cinza,2,Nao,Nao,10,79009
C1240,Fiat,2013,173973,1.0,Automatico,Diesel,Vermelho,4,Nao,Sim,8,35613
C1241,Chevrolet,2009,73669,1.8,Manual,Gasolina,Preto,4,Nao,Sim,11,46576
C1242,Volkswagen,2021,27463,1.0,Manual,Gasolina,Preto,4,Nao,Sim,4,69453
C1243,Volkswagen,2006,37938,1.0,Automatico,Gasolina,Vermelho,4,Nao,Sim,1,36353
C1244,Chevrolet,2016,43375,1.0,Manual,Gasolina,Prata,2,Nao,Sim,0,45058
C1245,Fiat,2006,177594,1.0,Automatico,Flex,Branco,4,Sim,Nao,5,14521
C1246,Volkswagen,2005,300000,1.8,Automatico,Flex,Cinza,4,Sim,Nao,3,20335
C1247,Hyundai,2022,15558,1.0,Automatico,Diesel,Vermelho,4,Sim,Sim,8,80509
C1248,Hyundai,2020,48638,1.4,Automatico,Flex,Preto,2,Sim,Nao,9,78253
